Valuation,Pillar,Divergence,beta_level,p_level,sig_level,beta_div,beta_interaction,p_div,sig_div,p_interaction,sig_interaction,n
log_deal_value,ESG,CV_ESG,0.011817303685866573,0.5016173428663098,,-0.01611296597311679,0.0021622897404630775,0.15703717677228635,,0.9683384536214634,,44.0
log_deal_value,E,CV_E,0.019476838300264546,0.2755088898485656,,-0.005471849954828082,0.04238198229983757,0.7874737454201861,,0.44821515664955114,,46.0
log_deal_value,S,CV_S,0.006575158705200465,0.6867135009503461,,-0.009326001337138054,0.018136763815055877,0.29325209312465395,,0.47048921859044024,,46.0
log_deal_value,G,CV_G,0.03528734894578847,0.06589350929734202,*,-0.006916446805278038,0.03677232739914303,0.46880855600262317,,0.014257419405951592,**,46.0
premium_1d,ESG,CV_ESG,-35.75522165361995,0.3731314674438101,,-6.29964073673522,-27.46719421853617,0.7459746531774556,,0.4432497190730563,,41.0
premium_1d,E,CV_E,-25.1888123947734,0.38059403366698186,,4.481769535120719,-39.643799103510226,0.8128562604286931,,0.40684409699113744,,43.0
premium_1d,S,CV_S,-28.815130481498294,0.37923994478575473,,-7.928195277575067,-7.3206585161784545,0.5709612342469748,,0.5897852525512839,,43.0
premium_1d,G,CV_G,-27.923898274816715,0.39735066070024083,,-12.157902139080724,-7.969323018288225,0.4398927052284848,,0.5911354310882428,,43.0
premium_1w,ESG,CV_ESG,-34.82682267467678,0.3711276250690829,,-6.1036257779520575,-26.07780641991358,0.7461821555776424,,0.4490621726683456,,42.0
premium_1w,E,CV_E,-28.419865522766717,0.37730504316291136,,1.8262602059345123,-36.26678785606894,0.9202846475848298,,0.3956986637765283,,43.0
premium_1w,S,CV_S,-33.64043922011263,0.3675032095034316,,-8.913833342425885,-10.62052477700137,0.5363891363909981,,0.5196413522640595,,43.0
premium_1w,G,CV_G,-27.72488741484331,0.39466029718798734,,-12.045306751503423,-9.80114923802474,0.4347187411003234,,0.5435072201203499,,43.0
premium_1m,ESG,CV_ESG,-22.532482361930935,0.3702881623543226,,-3.6000124786965015,-5.206409411177018,0.8169699092788812,,0.7869510930212562,,44.0
premium_1m,E,CV_E,-20.62489849401064,0.37637610897395113,,5.459408642350889,-32.274524794361106,0.7444507058424298,,0.3966299508215505,,46.0
premium_1m,S,CV_S,-17.841946802096174,0.3759191479112939,,-5.372976457270128,-1.0145702186036336,0.6193952166160872,,0.9126380716692266,,46.0
premium_1m,G,CV_G,-24.790627330854512,0.38923140626935115,,-10.726782317958468,-3.148666434223394,0.4401948099946932,,0.6785326967738396,,46.0
deal_to_ebitda,ESG,CV_ESG,0.1183633410638264,0.1796954900959673,,0.21415675882433782,-0.15911148595167196,0.21480744209416058,,0.3696633325797526,,43.0
deal_to_ebitda,E,CV_E,0.17203585563698792,0.11396131824315313,,0.2700658150141429,-0.06760408535000917,0.008126166524852166,***,0.6962608572458735,,45.0
deal_to_ebitda,S,CV_S,0.10560660831948433,0.2302098350669216,,0.11954459525131118,-0.07723392524603255,0.05601092633801476,*,0.3304909988731446,,45.0
deal_to_ebitda,G,CV_G,0.25192191156127275,0.02102620355481883,**,0.31618297976593707,-0.18328967847263292,0.31383825775069474,,0.5320394962711207,,45.0
deal_to_net_assets,ESG,CV_ESG,-0.2138367994521766,0.4041291672145171,,-0.016697092120211893,-0.11339575117138254,0.9438059034340599,,0.6909169086654063,,42.0
deal_to_net_assets,E,CV_E,-0.2107752132525615,0.386279238169528,,0.05569070918643006,-0.3492340738729489,0.7773610704548779,,0.38842141685259646,,44.0
deal_to_net_assets,S,CV_S,-0.1659468371117965,0.41437858004249095,,-0.05621155168252634,-0.018175808372167063,0.6804283675158753,,0.8948891737889355,,44.0
deal_to_net_assets,G,CV_G,-0.22832684240074294,0.43058814707631965,,-0.07667306556497173,-0.07004806890498319,0.7130589231685717,,0.7216705695913808,,44.0
