Valuation,Pillar,Divergence,beta_level,p_level,sig_level,beta_div,beta_interaction,p_div,sig_div,p_interaction,sig_interaction,n
log_deal_value,ESG,SD_ESG,0.013393250172906192,0.4405303916279114,,-0.00023697696665060013,-7.515580269052639e-05,0.3936700643659241,,0.9361328125046863,,44.0
log_deal_value,E,SD_E,0.016617258074167862,0.22916656332734997,,-0.00023197709242808848,0.0007581678269438759,0.6045474040348908,,0.5338708114372773,,46.0
log_deal_value,S,SD_S,0.006310276182998759,0.6822590426293618,,-0.0001275294140420972,0.0002449059171276543,0.525831177867629,,0.6608696647735296,,46.0
log_deal_value,G,SD_G,0.03306406146256648,0.06758364315383253,*,-0.00012196944837972439,0.0007200018913794213,0.5295987148530712,,0.07568546120551164,*,46.0
premium_1d,ESG,SD_ESG,-33.450244465838296,0.37067031308874687,,-0.22407213542939408,-0.24690100995030362,0.56781698942611,,0.5940839577398263,,41.0
premium_1d,E,SD_E,-22.083337962710985,0.3781833799279206,,0.23637920081436928,-0.6387284870379962,0.5965951897854871,,0.40482718884008495,,43.0
premium_1d,S,SD_S,-26.705479437395873,0.37543257840533106,,-0.22511118852218864,-0.06984432604756434,0.4794692723084626,,0.7515086209230963,,43.0
premium_1d,G,SD_G,-25.258303376624056,0.39765398374006866,,-0.22134573261945967,-0.048440035251187986,0.4576818876665405,,0.8340506876056342,,43.0
premium_1w,ESG,SD_ESG,-32.63465983066769,0.36860069777592464,,-0.2186819453910769,-0.23035275900893637,0.5661571297774036,,0.6061063009927441,,42.0
premium_1w,E,SD_E,-24.96001693569453,0.37869081469280574,,0.1953278652594958,-0.7009486873678521,0.6397451834698964,,0.39424162681561836,,43.0
premium_1w,S,SD_S,-30.97848457484382,0.3637797713365396,,-0.2340795321970339,-0.15888007797472903,0.4664699766864374,,0.5783805347550387,,43.0
premium_1w,G,SD_G,-24.887539052313603,0.39458614748383813,,-0.2187961609590473,-0.08515702254557095,0.45172886803590917,,0.7252914193212181,,43.0
premium_1m,ESG,SD_ESG,-22.043774085649506,0.36800299822898974,,-0.18869828198800903,0.09563080507528529,0.5662444052416398,,0.7757398471512859,,44.0
premium_1m,E,SD_E,-18.32231144069391,0.37484395669120985,,0.23035413730316015,-0.5710261850908409,0.5658544514659508,,0.3984173910812563,,46.0
premium_1m,S,SD_S,-17.09244165094699,0.37300152108489404,,-0.1840462724903158,0.07273691050312091,0.4833274751642872,,0.69967422186125,,46.0
premium_1m,G,SD_G,-22.766620396372225,0.3910923450807622,,-0.19770277724233415,-0.08066573392630631,0.45713168712440466,,0.6397499610684751,,46.0
deal_to_ebitda,ESG,SD_ESG,0.10411074783354712,0.20939955006244781,,0.006761389411829422,-0.005888368578276239,0.21260062397919033,,0.2843501270990221,,43.0
deal_to_ebitda,E,SD_E,0.11787836627731356,0.253538809565392,,0.006987475507725648,-0.005033675970736104,0.019254201983557474,**,0.08836197754308521,*,45.0
deal_to_ebitda,S,SD_S,0.0988300591564293,0.26138856809715194,,0.003624641641581733,-0.0027246010419971363,0.051107777090461604,*,0.15452207202590537,,45.0
deal_to_ebitda,G,SD_G,0.23784078047725857,0.023956224567470114,**,0.007585467595752782,-0.004711197823120958,0.30398511270414064,,0.495986315457579,,45.0
deal_to_net_assets,ESG,SD_ESG,-0.20690744311894277,0.40926780583592637,,-0.0020516655188018945,0.00028910043022727994,0.6638324759412895,,0.9527649808321655,,42.0
deal_to_net_assets,E,SD_E,-0.18570440042412026,0.3833230560334925,,0.002559055291988146,-0.006609077027328169,0.6029293496535107,,0.37738886315713105,,44.0
deal_to_net_assets,S,SD_S,-0.1569093655526997,0.41757626564014416,,-0.002216232302193063,0.0007866684460027839,0.5040203182042038,,0.7790686656169136,,44.0
deal_to_net_assets,G,SD_G,-0.21112373386769276,0.4325919867521536,,-0.0013073335613813897,-0.0017923567882496385,0.7481122200140016,,0.6608638461675662,,44.0
