Valuation,Pillar,Divergence,beta_level,p_level,sig_level,beta_div,beta_interaction,p_div,sig_div,p_interaction,sig_interaction,n
log_deal_value,ESG,log_SD_ESG,0.01398530126780796,0.3900937021238997,,-0.03871647175519399,-0.14002682300640124,0.8309254856638599,,0.45496463051938196,,44.0
log_deal_value,E,log_SD_E,0.01765760667703177,0.1588279151769919,,-0.2775085296825997,0.6679008176831226,0.24657475113077088,,0.2286189980340364,,46.0
log_deal_value,S,log_SD_S,0.005605509903129927,0.704443728950896,,0.04124714313747474,-0.1429801434994764,0.6838943363651567,,0.4704289929339672,,46.0
log_deal_value,G,log_SD_G,0.028041349987177465,0.04111246167279584,**,-0.01035998844974545,0.10620437303764663,0.8571401170851786,,0.40467084900948314,,46.0
premium_1d,ESG,log_SD_ESG,-35.57444074597284,0.36670195537970074,,220.4089007609491,-344.3149295907561,0.4734320592899166,,0.4005317119768441,,41.0
premium_1d,E,log_SD_E,-21.42448133179287,0.38179173214081985,,211.1789413557625,-408.70625504083654,0.3461334059125235,,0.3288093952333796,,43.0
premium_1d,S,log_SD_S,-24.50341508938302,0.365910241214778,,159.41534032782758,-268.2152307776882,0.38177523366974997,,0.3862866941703963,,43.0
premium_1d,G,log_SD_G,-18.69616623526045,0.40425302003061014,,130.0187155737058,-146.13789377794046,0.3636614476212543,,0.3802043549504248,,43.0
premium_1w,ESG,log_SD_ESG,-34.778865733005645,0.3647987167750484,,214.71927777093993,-334.94650992425386,0.4730141893053288,,0.40078677681345476,,42.0
premium_1w,E,log_SD_E,-23.8941385406561,0.38264675452936847,,190.725032798926,-418.35638873773746,0.3497825545881569,,0.33307282619066203,,43.0
premium_1w,S,log_SD_S,-27.165461209167752,0.36061659984901584,,155.12339402217984,-285.4143744234817,0.3903469257717064,,0.3964363993737089,,43.0
premium_1w,G,log_SD_G,-18.116822031275913,0.40305997741700117,,126.57549688243571,-146.1347925164967,0.36497750080266445,,0.37805128411824407,,43.0
premium_1m,ESG,log_SD_ESG,-21.656053450571477,0.36156364637674665,,200.8755142899214,-199.7682978103273,0.4419203393946891,,0.4601618920677858,,44.0
premium_1m,E,log_SD_E,-18.196076065001723,0.37784147137309965,,196.07871920213023,-380.3980112453636,0.3384465896945624,,0.32461910823066564,,46.0
premium_1m,S,log_SD_S,-15.856581587101404,0.3585563170305681,,141.45682794767012,-136.04152503986165,0.3717911380551767,,0.41951106803985594,,46.0
premium_1m,G,log_SD_G,-15.168301068296227,0.40283179255256985,,118.42628056981016,-145.7751931202068,0.356683056813362,,0.36501023605171046,,46.0
deal_to_ebitda,ESG,log_SD_ESG,0.09097695971039803,0.23499325189928733,,3.106579633800157,-3.01082691698289,0.32838376458363916,,0.3533650516835739,,43.0
deal_to_ebitda,E,log_SD_E,0.1126766121342851,0.3948908535498986,,2.5834098246193453,-1.5423822523925885,0.20592813528534581,,0.32707127959163174,,45.0
deal_to_ebitda,S,log_SD_S,0.07383035019610176,0.379329968559985,,0.7687870809582206,-0.7400040110900044,0.5188062717178394,,0.5602841166635,,45.0
deal_to_ebitda,G,log_SD_G,0.1359876469424966,0.03416639500889872,**,0.1932068166383547,0.005984036185966657,0.8747653271378659,,0.9961340430142331,,45.0
deal_to_net_assets,ESG,log_SD_ESG,-0.22592894566636065,0.4067220686775084,,3.13053274787249,-3.3848114076970988,0.4811798597394542,,0.4579346688603604,,42.0
deal_to_net_assets,E,log_SD_E,-0.18448363628932507,0.38915797789690054,,2.6318482332968287,-4.700956958000112,0.335046780601024,,0.30596058144043925,,44.0
deal_to_net_assets,S,log_SD_S,-0.15180217715735214,0.41816956195144306,,1.7165726865599447,-1.8667965986440263,0.4001373828683139,,0.38391203534656726,,44.0
deal_to_net_assets,G,log_SD_G,-0.16666566710560057,0.448213700470935,,1.525903242456953,-2.0487050529351634,0.36932412280673177,,0.3272506167403645,,44.0
